Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
MMPB,America/Mexico_City,1980-01-02,39.20,68.00,35.60,46.40,0.00,3.45,,NE,6.21,15.53,,,,,NCD,no cloud detected,ICC05,five oktas - 6/10,IWC04,smoke,FU,smoke,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-03,46.40,64.40,41.00,48.20,0.00,9.21,,SE,6.21,12.43,,,,,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-04,48.20,64.40,41.00,42.80,0.00,4.70,,SW,6.21,7.00,,,,,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-05,64.40,68.00,44.60,46.40,0.00,2.30,,SW,10.00,12.43,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-06,37.40,66.20,32.00,48.20,0.00,2.30,,S,6.21,7.00,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-07,46.40,64.40,39.20,48.20,0.00,2.30,,SE,4.97,9.32,,,,,NCD,no cloud detected,FEW,mostly clear,IWC06,dust,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-08,44.60,68.00,41.00,51.80,0.00,2.30,,SE,6.21,9.32,,,,,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-09,42.80,42.80,39.20,39.20,0.00,0.00,,,6.21,7.00,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-10,68.00,71.60,50.00,51.80,0.00,2.30,,N,10.00,12.43,,,,,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-11,42.80,75.20,37.40,50.00,0.00,2.30,,SW,6.21,12.43,,,,,NCD,no cloud detected,ICC06,six oktas - 7/10 - 8/10,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-12,44.60,69.80,37.40,50.00,0.00,2.30,,SE,6.21,12.43,,,,,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-13,69.80,69.80,53.60,53.60,0.00,0.00,,,10.00,12.43,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-14,44.60,69.80,37.40,51.80,0.00,2.30,,NE,3.00,12.43,,,,,NCD,no cloud detected,CLR,clear,IWC06,dust,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-15,69.80,69.80,53.60,53.60,2.24,4.70,,SW,6.21,9.32,,,,,NCD,no cloud detected,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-16,66.20,69.80,50.00,55.40,0.00,2.30,,SE,6.21,12.43,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-17,46.40,60.80,41.00,48.20,0.00,0.00,,,6.21,9.32,,,,,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-18,66.20,69.80,48.20,50.00,0.00,2.30,,SE,10.00,12.43,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-19,42.80,69.80,41.00,53.60,0.00,5.82,,NE,6.21,12.43,,,,,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-21,68.00,69.80,50.00,51.80,2.24,2.30,,N,9.00,12.43,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-22,53.60,69.80,48.20,53.60,0.00,3.45,,S,6.21,12.43,,,,,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-23,55.40,59.00,48.20,50.00,0.00,8.06,,E,6.21,9.32,,,,,ICC03,three oktas - 4/10,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-24,46.40,59.00,44.60,51.80,0.00,5.82,,E,3.73,7.00,,,,,ICC06,six oktas - 7/10 - 8/10,OVC,overcast,-DZ,light drizzle,IWC50,light intermittent drizzle,IWC06,dust,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-25,51.80,53.60,48.20,48.20,0.00,0.00,,,3.00,7.00,,,,,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-26,50.00,55.40,48.20,50.00,0.00,0.00,,,6.00,9.32,,,,,SCT,partly cloudy,OVC,overcast,DZ,drizzle,IWC52,intermittent drizzle,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-27,42.80,64.40,41.00,51.80,0.00,3.45,,SE,6.21,12.43,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-28,46.40,69.80,42.80,51.80,0.00,4.70,,SE,6.21,20.00,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-29,41.00,68.00,39.20,48.20,0.00,2.30,,S,6.21,20.00,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-30,44.60,68.00,41.00,51.80,0.00,2.30,,NE,9.00,15.53,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-01-31,44.60,73.40,41.00,51.80,0.00,11.51,,NE,6.21,9.32,,,,,NCD,no cloud detected,ICC01,one okta - 1/10 or less but not zero,IWC06,dust,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-01,44.60,66.20,44.60,50.00,0.00,4.70,,SE,6.21,12.43,,,,,NCD,no cloud detected,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-02,41.00,66.20,37.40,51.80,0.00,4.70,,SE,6.21,12.43,,,,,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-03,46.40,64.40,39.20,44.60,0.00,6.93,,NE,6.21,12.43,,,,,CLR,clear,ICC06,six oktas - 7/10 - 8/10,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-04,64.40,64.40,39.20,42.80,0.00,0.00,,,10.00,12.43,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-05,35.60,68.00,32.00,48.20,0.00,4.70,,W,6.21,12.43,,,,,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-06,42.80,64.40,35.60,44.60,0.00,2.30,,E,6.21,12.43,,,,,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-07,39.20,66.20,33.80,42.80,0.00,2.30,,SE,9.00,12.43,,,,,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
MMPB,America/Mexico_City,1980-02-08,41.00,41.00,35.60,35.60,0.00,0.00,,,6.21,7.00,,,,,NCD,no cloud detected,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
